sheet,row,forwarder,label,predicted,expected,rule_engine_now,engine_matches_a,reason,in_stat,in_tarif,in_fr_diff,in_tz_diff,in_empf_plz,in_empf_ort,in_anz_sdg,in_av_diff,in_exp_diff,in_exp_dl,in_snk_dl,in_snk_diff,in_snk_tarif,in_maut_diff,in_dgr_diff,in_serv_art,in_sachkonto,in_zz_diff,in_referenz3,in_lg_diff
Soll-Ist-Vergleich best. Beleg,157,dachser,correct,Mautdifferenz,Mautdifferenz,Mautdifferenz,true,STAT=10 | TARIF=82.19 | FR=-0.04 | EXP_DL=30 | MAUT=0.62 | VKG_DL=52 | SERV=DA04 | SACH=612100,10,82.19,-0.04,,83646,Bad Tölz,1,,,30,,,,0.62,,DA04,612100,,,
Soll-Ist-Vergleich best. Beleg,158,dachser,correct,,,,true,STAT=30 | TARIF=102.11 | FR=-0.04 | EXP_DL=30 | TZ=-0.01 | VKG_DL=137 | SERV=DA07 | SACH=612100,30,102.11,-0.04,-0.01,39122,Magdeburg,1,,,30,,,,,,DA07,612100,,,
Soll-Ist-Vergleich best. Beleg,159,dachser,correct,Differenz Telefonische Zustellankündigung - Laderaumzuschlag,Differenz Telefonische Zustellankündigung - Laderaumzuschlag,Differenz Telefonische Zustellankündigung - Laderaumzuschlag,true,STAT=10 | TARIF=67.92 | SNK_DL=11 | SNK_DIFF=8.75 | EXP_DL=10 | VKG_DL=62 | SERV=DA05 | SACH=612100,10,67.92,,,51519,Odenthal,1,,,10,11,8.75,2.25,,,DA05,612100,,,
Soll-Ist-Vergleich best. Beleg,160,dachser,correct,,,,true,STAT=30 | TARIF=52.81 | FR=-0.04 | VKG_DL=65 | SERV=DA01 | SACH=612100,30,52.81,-0.04,,60549,Frankfurt,1,,,,,,,,,DA01,612100,,,
Soll-Ist-Vergleich best. Beleg,161,dachser,correct,,,,true,STAT=30 | TARIF=103.1 | FR=-0.04 | EXP_DL=30 | TZ=-0.01 | VKG_DL=108 | SERV=DA07 | SACH=612100,30,103.1,-0.04,-0.01,13187,Berlin,1,,,30,,,,,,DA07,612100,,,
Soll-Ist-Vergleich best. Beleg,162,dachser,correct,,,,true,STAT=30 | TARIF=72.97 | FR=-0.02 | EXP_DL=30 | VKG_DL=44 | SERV=DA07 | SACH=612100,30,72.97,-0.02,,59939,Olsberg,1,,,30,,,,,,DA07,612100,,,
Soll-Ist-Vergleich best. Beleg,163,dachser,correct,,,,true,STAT=30 | TARIF=92.62 | FR=0.02 | EXP_DL=10 | TZ=0.01 | VKG_DL=184 | SERV=DA05 | SACH=612100,30,92.62,0.02,0.01,33824,Werther,1,,,10,,,,,,DA05,612100,,,
Soll-Ist-Vergleich best. Beleg,164,dachser,correct,Mautdifferenz,Mautdifferenz,Mautdifferenz,true,STAT=10 | TARIF=37.4 | FR=0.03 | MAUT=0.18 | TZ=0.01 | VKG_DL=30 | SERV=DA01 | SACH=612100,10,37.4,0.03,0.01,86609,Donauwörth,1,,,,,,,0.18,,DA01,612100,,,
Soll-Ist-Vergleich best. Beleg,165,dachser,correct,,,,true,STAT=30 | TARIF=107.03 | EXP_DL=30 | VKG_DL=168 | SERV=DA07 | SACH=612100,30,107.03,,,56589,Bürder,1,,,30,,,,,,DA07,612100,,,
Soll-Ist-Vergleich best. Beleg,166,dachser,correct,,,,true,STAT=30 | TARIF=87.18 | FR=-0.04 | EXP_DL=30 | TZ=-0.01 | VKG_DL=61 | SERV=DA07 | SACH=612100,30,87.18,-0.04,-0.01,45659,Recklinghausen,1,,,30,,,,,,DA07,612100,,,
Soll-Ist-Vergleich best. Beleg,167,dachser,correct,,,,true,STAT=30 | TARIF=87.18 | FR=-0.04 | EXP_DL=30 | TZ=-0.01 | VKG_DL=53 | SERV=DA07 | SACH=612100,30,87.18,-0.04,-0.01,01169,Dresden,1,,,30,,,,,,DA07,612100,,,
Soll-Ist-Vergleich best. Beleg,168,dachser,correct,Differenz Telefonische Zustellankündigung - Laderaumzuschlag // Mautdifferenz,Differenz Telefonische Zustellankündigung - Laderaumzuschlag // Mautdifferenz,Differenz Telefonische Zustellankündigung - Laderaumzuschlag // Mautdifferenz,true,STAT=10 | TARIF=48.83 | FR=0.05 | SNK_DL=11 | SNK_DIFF=9.43 | EXP_DL=10 | MAUT=0.18 | TZ=0.01 | VKG_DL=38 | SERV=DA02 | SACH=612100,10,48.83,0.05,0.01,72488,Sigmaringen,1,,,10,11,9.43,1.57,0.18,,DA02,612100,,,
Soll-Ist-Vergleich best. Beleg,169,dachser,correct,,,,true,STAT=30 | TARIF=42.37 | FR=-0.01 | VKG_DL=38 | SERV=DA01 | SACH=612100,30,42.37,-0.01,,50968,Köln,1,,,,,,,,,DA01,612100,,,
Soll-Ist-Vergleich best. Beleg,170,dachser,correct,,,,true,STAT=30 | TARIF=87.18 | FR=-0.04 | EXP_DL=30 | TZ=-0.01 | VKG_DL=71 | REF3=ZW | SERV=DA07 | SACH=612100,30,87.18,-0.04,-0.01,30659,Hannover,1,,,30,,,,,,DA07,612100,,ZW,
Soll-Ist-Vergleich best. Beleg,171,dachser,correct,Differenz Telefonische Zustellankündigung - Laderaumzuschlag,Differenz Telefonische Zustellankündigung - Laderaumzuschlag,Differenz Telefonische Zustellankündigung - Laderaumzuschlag,true,STAT=10 | TARIF=87.92 | SNK_DL=11 | SNK_DIFF=8.75 | EXP_DL=30 | VKG_DL=51 | SERV=DA07 | SACH=612100,10,87.92,,,50933,Köln,1,,,30,11,8.75,2.25,,,DA07,612100,,,
Soll-Ist-Vergleich best. Beleg,172,dachser,correct,,,,true,STAT=30 | TARIF=58.39 | FR=0.02 | TZ=0.01 | VKG_DL=53 | SERV=DA01 | SACH=612100,30,58.39,0.02,0.01,49835,Wietmarschen,1,,,,,,,,,DA01,612100,,,
Soll-Ist-Vergleich best. Beleg,173,dachser,correct,,,,true,STAT=30 | TARIF=116.13 | FR=-0.01 | EXP_DL=30 | VKG_DL=276 | SERV=DA07 | SACH=612100,30,116.13,-0.01,,76137,Karlsruhe,1,,,30,,,,,,DA07,612100,,,
